id,label,text,url,email,phone,source,intent_type,malicious,threat_level,linked_to,rewritten_text
s00014,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,no,no,retail,support,yes,low,adware,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
s00011,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,retail,data theft,yes,medium,adware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00012,ham,I'll be late. Stuck in traffic.,,user12@example.com,-2366,social,promotion,no,none,no,
s00009,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,no,bank,support,yes,low,malware,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00014,ham,I'll be late. Stuck in traffic.,,no,no,subscription,notification,no,none,no,
s00007,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,no,no,social,account takeover,yes,medium,adware,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
s00015,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,no,no,bank,data theft,yes,high,adware,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
s00010,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,government,promotion,yes,low,malware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00008,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,-2362,bank,data theft,yes,medium,malware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00016,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,-2370,social,reminder,yes,medium,phishing,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00010,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,no,bank,support,no,medium,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00001,ham,"Hey, can you pick up some milk on your way home?",,no,no,utility,data theft,no,none,no,
h00003,ham,"Hey, can you pick up some milk on your way home?",,user3@example.com,no,social,account takeover,no,none,no,
s00013,smishing,FedEx delivery failed. Confirm your details: fedex-confirm.com,fedex-confirm.com,no,no,social,support,yes,high,malware,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
h00004,ham,Lunch at the usual place today?,,no,-2358,social,data theft,no,none,no,
s00001,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,no,subscription,notification,no,high,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00009,spam,Hot singles near you are waiting! Check out now: flirtyzone.com,flirtyzone.com,no,no,subscription,account takeover,no,low,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00005,ham,Don't forget our meeting at 3 PM.,,no,no,delivery,reminder,no,none,no,
h00007,ham,The report is due by Friday. Please ensure all updates are done.,,no,no,subscription,promotion,no,none,no,
s00019,smishing,Your account has been suspended. Reactivate now at secure-login.net.,,no,no,delivery,data theft,yes,medium,malware,Y0ur pr0f1l3 h@s b33n susp3nd3d. R3@ct1v@t3 n0w @t s3cur3-s1gn 1n.n3t.
s00007,spam,Hot singles near you are waiting! Check out now: flirtyzone.com,flirtyzone.com,no,no,retail,phishing,no,high,no,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
s00004,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,no,-2358,retail,data theft,yes,medium,adware,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
s00005,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,no,no,retail,support,yes,low,phishing,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
h00018,ham,I'll be late. Stuck in traffic.,,user18@example.com,no,utility,data theft,no,none,no,
h00000,ham,Lunch at the usual place today?,,user0@example.com,-2354,delivery,data theft,no,none,no,
s00013,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,no,government,account takeover,no,medium,no,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
s00003,smishing,FedEx delivery failed. Confirm your details: fedex-confirm.com,fedex-confirm.com,no,no,utility,notification,yes,high,malware,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
s00016,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,-2370,subscription,data theft,no,high,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00012,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,-2366,subscription,promotion,no,low,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00017,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,utility,reminder,yes,high,malware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00014,spam,Exclusive deals on supplements! Order now at health-max.com,health-max.com,no,no,subscription,promotion,no,high,no,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
s00011,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,no,retail,account takeover,no,medium,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00019,spam,Exclusive deals on supplements! Order now at health-max.com,health-max.com,no,no,retail,data theft,no,high,no,Y0ur pr0f1l3 h@s b33n susp3nd3d. R3@ct1v@t3 n0w @t s3cur3-s1gn 1n.n3t.
h00009,ham,The report is due by Friday. Please ensure all updates are done.,,user9@example.com,no,bank,reminder,no,none,no,
s00001,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,delivery,reminder,yes,high,adware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00006,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,no,social,phishing,no,low,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00012,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,-2366,bank,phishing,yes,low,phishing,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00002,smishing,Your account has been suspended. Reactivate now at secure-login.net.,,no,no,delivery,promotion,yes,low,malware,Y0ur pr0f1l3 h@s b33n susp3nd3d. R3@ct1v@t3 n0w @t s3cur3-s1gn 1n.n3t.
s00015,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,no,delivery,data theft,no,high,no,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
s00002,spam,Hot singles near you are waiting! Check out now: flirtyzone.com,flirtyzone.com,no,no,retail,data theft,no,low,no,Y0ur pr0f1l3 h@s b33n susp3nd3d. R3@ct1v@t3 n0w @t s3cur3-s1gn 1n.n3t.
s00008,spam,Hot singles near you are waiting! Check out now: flirtyzone.com,flirtyzone.com,no,-2362,delivery,data theft,no,high,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00016,ham,Lunch at the usual place today?,,no,-2370,retail,account takeover,no,none,no,
s00017,spam,Get rich quick with our new crypto scheme! Visit crypto-gainz.com,crypto-gainz.com,no,no,government,promotion,no,low,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00019,ham,Don't forget our meeting at 3 PM.,,no,no,retail,data theft,no,none,no,
s00000,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,-2354,utility,data theft,no,high,no,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
s00000,smishing,FedEx delivery failed. Confirm your details: fedex-confirm.com,fedex-confirm.com,no,-2354,bank,phishing,yes,medium,malware,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
s00003,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,no,bank,account takeover,no,high,no,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
h00010,ham,I'll be late. Stuck in traffic.,,no,no,government,account takeover,no,none,no,
s00018,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,bank,phishing,yes,medium,adware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00008,ham,The report is due by Friday. Please ensure all updates are done.,,no,-2362,social,reminder,no,none,no,
s00018,spam,Hot singles near you are waiting! Check out now: flirtyzone.com,flirtyzone.com,no,no,subscription,notification,no,high,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00013,ham,The report is due by Friday. Please ensure all updates are done.,,no,no,bank,data theft,no,none,no,
s00006,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,no,social,account takeover,yes,high,phishing,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00006,ham,The report is due by Friday. Please ensure all updates are done.,,user6@example.com,no,subscription,promotion,no,none,no,
